PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3021,Computer and Information Systems Managers,detailed,"15,460",3.1,2.557,1.00,77.22,"160,620",1.0,44.41,58.66,73.02,90.02,#,"92,360","122,020","151,880","187,240",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3031,Financial Managers,detailed,"27,690",3.8,4.579,1.15,75.67,"157,400",1.5,36.09,46.96,66.37,93.67,#,"75,070","97,690","138,040","194,830",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3051,Industrial Production Managers,detailed,"7,340",3.3,1.213,1.01,56.41,"117,330",1.5,27.82,36.56,50.79,68.12,91.03,"57,860","76,040","105,650","141,690","189,350",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3061,Purchasing Managers,detailed,"3,130",5.6,0.518,1.05,62.37,"129,720",3.0,31.22,44.11,60.44,76.43,94.67,"64,930","91,750","125,710","158,970","196,920",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"6,830",4.9,1.129,1.36,48.17,"100,190",2.4,26.20,32.66,43.89,58.20,75.13,"54,490","67,930","91,290","121,050","156,270",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3111,Compensation and Benefits Managers,detailed,560,7.5,0.093,0.85,71.06,"147,800",2.4,40.19,50.44,67.47,86.61,#,"83,590","104,910","140,340","180,150",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3121,Human Resources Managers,detailed,"5,950",3.3,0.985,1.03,64.25,"133,630",2.3,33.22,43.61,60.01,76.72,98.53,"69,090","90,700","124,820","159,580","204,940",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-3131,Training and Development Managers,detailed,"1,310",7.0,0.217,0.90,58.27,"121,210",2.4,30.32,41.44,55.20,71.06,87.93,"63,060","86,190","114,810","147,800","182,900",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,70,49.0,0.012,0.38,30.22,"62,850",16.6,15.82,17.39,31.09,37.58,42.27,"32,900","36,170","64,670","78,160","87,920",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9021,Construction Managers,detailed,"10,930",6.0,1.807,0.98,51.30,"106,700",2.7,24.43,35.04,47.20,65.88,81.82,"50,820","72,890","98,170","137,030","170,190",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"2,170",9.1,0.358,1.04,27.68,"57,570",3.5,18.29,20.58,23.59,30.74,46.30,"38,040","42,800","49,060","63,950","96,290",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"6,360",6.7,1.052,0.60,*,"121,190",1.1,*,*,*,*,*,"86,660","108,250","122,260","139,760","158,300",TRUE,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9033,"Education Administrators, Postsecondary",detailed,"5,430",9.8,0.898,0.90,61.43,"127,770",3.1,34.01,42.62,55.88,72.78,95.39,"70,750","88,640","116,230","151,380","198,400",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9039,"Education Administrators, All Other",detailed,"1,870",12.3,0.308,1.22,45.43,"94,490",3.5,25.15,30.35,43.24,57.62,72.00,"52,310","63,120","89,940","119,860","149,760",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9041,Architectural and Engineering Managers,detailed,"8,820",4.0,1.459,1.16,79.16,"164,650",1.7,44.59,61.03,76.49,93.23,#,"92,740","126,940","159,110","193,910",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9051,Food Service Managers,detailed,"13,560",4.6,2.242,1.54,24.71,"51,390",2.8,12.61,16.12,21.76,29.76,39.75,"26,230","33,530","45,260","61,890","82,690",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9061,Funeral Service Managers,detailed,150,42.5,0.025,0.43,*,*,*,*,*,*,*,*,*,*,*,*,*,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9081,Lodging Managers,detailed,"1,120",11.8,0.185,0.72,30.12,"62,660",4.3,14.71,18.53,27.96,35.36,48.35,"30,610","38,550","58,160","73,550","100,570",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9111,Medical and Health Services Managers,detailed,"12,110",3.2,2.003,0.82,55.73,"115,920",2.1,27.07,37.36,52.27,68.41,86.60,"56,300","77,710","108,720","142,300","180,120",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9121,Natural Sciences Managers,detailed,**,**,**,**,58.71,"122,120",7.5,22.72,29.44,53.00,77.91,#,"47,260","61,230","110,240","162,050",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9131,Postmasters and Mail Superintendents,detailed,120,0.0,0.020,0.20,43.29,"90,050",2.5,34.48,39.15,42.48,46.56,53.25,"71,710","81,420","88,360","96,830","110,760",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"12,200",7.0,2.017,1.54,36.25,"75,410",3.4,14.23,20.39,30.77,43.67,61.85,"29,600","42,410","64,000","90,830","128,650",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9151,Social and Community Service Managers,detailed,**,**,**,**,35.92,"74,710",6.0,15.09,25.35,31.61,42.48,57.89,"31,390","52,730","65,740","88,360","120,410",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9161,Emergency Management Directors,detailed,160,13.3,0.026,0.39,61.98,"128,910",3.3,38.27,46.37,58.22,73.60,92.05,"79,600","96,440","121,110","153,100","191,470",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",11-9199,"Managers, All Other",detailed,"18,930",2.7,3.131,1.04,66.19,"137,680",1.6,32.90,43.60,58.94,78.99,#,"68,420","90,680","122,600","164,290",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-0000,Business and Financial Operations Occupations,major,"366,110",1.2,60.544,1.15,38.97,"81,070",0.7,18.98,25.73,34.80,46.88,61.85,"39,490","53,520","72,380","97,510","128,640",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"5,960",7.7,0.986,9.09,46.59,"96,900",8.5,15.78,20.83,31.92,51.04,#,"32,830","43,330","66,380","106,170",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1020,Buyers and Purchasing Agents,detailed,"21,490",4.3,3.554,1.23,33.69,"70,080",2.1,16.53,22.63,30.84,41.06,53.37,"34,380","47,070","64,150","85,400","111,010",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"11,810",8.0,1.953,0.99,34.90,"72,600",1.7,21.62,27.03,34.62,41.04,48.50,"44,980","56,220","72,010","85,360","100,880",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1032,"Insurance Appraisers, Auto Damage",detailed,"1,500",20.0,0.248,2.19,30.22,"62,860",2.7,20.60,24.55,29.11,36.17,43.13,"42,860","51,070","60,540","75,240","89,700",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1041,Compliance Officers,detailed,"13,140",3.2,2.173,1.08,39.35,"81,840",1.1,23.70,29.59,39.14,46.31,55.00,"49,290","61,550","81,410","96,320","114,400",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1051,Cost Estimators,detailed,"8,830",5.7,1.460,0.99,33.62,"69,930",2.1,16.57,22.60,30.74,42.65,53.10,"34,470","47,010","63,950","88,700","110,440",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1071,Human Resources Specialists,detailed,"22,440",2.8,3.711,0.95,35.18,"73,180",1.3,19.36,24.54,32.27,42.72,55.15,"40,270","51,030","67,110","88,850","114,710",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1075,Labor Relations Specialists,detailed,"3,390",9.5,0.561,1.02,39.24,"81,620",6.3,17.44,24.84,38.82,54.17,62.73,"36,280","51,660","80,750","112,670","130,480",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1081,Logisticians,detailed,"7,070",4.9,1.169,1.04,40.22,"83,650",1.4,24.95,30.93,38.99,49.42,59.33,"51,890","64,340","81,090","102,790","123,410",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1111,Management Analysts,detailed,"31,740",4.6,5.248,1.13,45.65,"94,950",2.2,25.04,32.13,41.14,54.63,70.82,"52,080","66,820","85,560","113,620","147,310",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1121,"Meeting, Convention, and Event Planners",detailed,"5,780",8.8,0.956,1.33,25.62,"53,290",2.7,12.00,17.20,23.44,32.69,40.29,"24,950","35,770","48,760","67,990","83,810",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1131,Fundraisers,detailed,"2,570",8.3,0.425,0.83,38.04,"79,120",12.1,19.01,24.27,31.50,40.75,59.74,"39,530","50,480","65,510","84,760","124,270",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"2,830",6.3,0.469,0.83,36.34,"75,590",1.2,22.27,27.55,34.63,43.17,53.98,"46,310","57,310","72,040","89,800","112,270",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1151,Training and Development Specialists,detailed,"10,030",5.5,1.659,0.84,32.59,"67,790",1.8,16.16,20.90,31.42,41.87,50.19,"33,600","43,470","65,340","87,080","104,400",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1161,Market Research Analysts and Marketing Specialists,detailed,"35,960",2.9,5.946,1.42,34.39,"71,520",1.1,16.72,22.38,30.51,42.01,59.01,"34,790","46,550","63,470","87,380","122,740",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-1199,"Business Operations Specialists, All Other",detailed,"56,510",2.3,9.346,1.33,38.13,"79,310",1.5,18.34,25.24,34.11,46.80,61.27,"38,140","52,500","70,940","97,340","127,440",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2011,Accountants and Auditors,detailed,"58,520",3.2,9.678,1.11,39.74,"82,670",1.5,21.94,27.71,35.60,46.76,61.59,"45,640","57,630","74,050","97,250","128,110",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2021,Appraisers and Assessors of Real Estate,detailed,"1,810",12.7,0.299,0.72,40.52,"84,290",2.7,22.39,30.66,40.40,49.47,59.18,"46,580","63,770","84,030","102,900","123,080",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2031,Budget Analysts,detailed,"2,570",8.8,0.425,1.11,45.42,"94,470",1.7,27.07,34.76,44.31,55.24,66.13,"56,310","72,310","92,160","114,890","137,550",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2041,Credit Analysts,detailed,"3,560",7.8,0.588,1.12,44.04,"91,610",3.0,22.21,28.79,36.71,51.34,73.53,"46,200","59,890","76,360","106,790","152,950",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2051,Financial Analysts,detailed,"12,340",4.9,2.041,0.99,49.27,"102,470",1.9,26.28,33.37,43.41,58.77,77.26,"54,660","69,410","90,300","122,240","160,710",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2052,Personal Financial Advisors,detailed,"10,540",7.8,1.743,1.24,62.47,"129,940",5.3,22.36,31.36,45.03,80.46,#,"46,500","65,220","93,660","167,350",#,,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2053,Insurance Underwriters,detailed,"3,050",11.8,0.505,0.80,42.88,"89,190",3.7,22.46,28.30,37.52,50.76,70.79,"46,720","58,870","78,030","105,580","147,250",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2061,Financial Examiners,detailed,"1,740",9.2,0.287,0.78,48.82,"101,540",4.1,28.07,36.05,45.09,59.51,76.68,"58,390","74,990","93,780","123,770","159,500",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2071,Credit Counselors,detailed,"1,620",12.8,0.268,1.06,28.04,"58,320",3.1,17.21,20.60,24.78,30.48,45.22,"35,800","42,850","51,550","63,390","94,060",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2072,Loan Officers,detailed,"16,820",8.4,2.781,1.29,38.03,"79,100",3.5,12.93,20.42,30.80,47.50,65.36,"26,890","42,470","64,060","98,790","135,940",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"1,620",0.7,0.268,0.67,39.59,"82,340",2.8,23.44,29.41,38.84,50.82,58.73,"48,760","61,180","80,790","105,710","122,150",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2082,Tax Preparers,detailed,"4,770",13.4,0.789,1.64,28.61,"59,510",4.8,12.17,17.50,26.41,36.53,51.02,"25,310","36,400","54,930","75,980","106,120",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",13-2099,"Financial Specialists, All Other",detailed,"6,110",7.2,1.011,1.14,38.16,"79,370",2.5,20.72,25.95,34.10,46.08,61.46,"43,100","53,970","70,930","95,840","127,840",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-0000,Computer and Mathematical Occupations,major,"165,650",2.3,27.394,0.92,45.25,"94,110",0.9,21.70,30.24,43.36,58.22,72.93,"45,130","62,900","90,180","121,110","151,690",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1111,Computer and Information Research Scientists,detailed,"1,240",26.6,0.206,1.05,58.24,"121,140",4.3,29.51,42.06,56.36,72.85,89.16,"61,380","87,490","117,220","151,540","185,440",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1121,Computer Systems Analysts,detailed,"20,000",6.9,3.307,0.81,45.53,"94,710",1.2,26.00,34.30,44.64,56.92,68.57,"54,090","71,350","92,860","118,390","142,620",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1122,Information Security Analysts,detailed,"3,030",7.2,0.501,0.68,48.25,"100,360",2.0,27.06,37.39,48.87,59.44,70.42,"56,270","77,780","101,650","123,630","146,480",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1131,Computer Programmers,detailed,"9,970",8.2,1.648,0.95,43.68,"90,860",1.1,26.67,33.65,42.21,53.71,63.94,"55,480","69,990","87,790","111,720","133,000",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1132,"Software Developers, Applications",detailed,"27,050",4.1,4.473,0.75,55.26,"114,940",1.5,31.24,41.57,54.07,66.25,79.24,"64,980","86,470","112,470","137,800","164,830",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1133,"Software Developers, Systems Software",detailed,"22,730",6.0,3.758,1.36,57.62,"119,860",1.6,33.04,43.61,57.01,71.87,84.43,"68,710","90,710","118,580","149,490","175,620",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1134,Web Developers,detailed,"7,920",7.2,1.310,1.48,36.84,"76,620",2.0,18.12,23.65,32.57,47.01,62.86,"37,690","49,180","67,750","97,780","130,750",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1141,Database Administrators,detailed,"3,830",5.3,0.633,0.79,44.60,"92,770",2.0,21.50,29.55,44.98,58.94,69.85,"44,720","61,470","93,560","122,590","145,280",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1142,Network and Computer Systems Administrators,detailed,"14,330",3.8,2.370,0.90,43.69,"90,870",1.1,23.65,32.80,42.96,54.53,63.99,"49,180","68,230","89,350","113,420","133,110",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1143,Computer Network Architects,detailed,"4,930",9.6,0.816,0.74,56.53,"117,590",4.4,29.59,40.44,53.68,69.53,82.69,"61,550","84,120","111,660","144,630","172,000",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1151,Computer User Support Specialists,detailed,"23,100",4.6,3.821,0.89,27.89,"58,020",1.0,15.99,20.59,26.60,34.06,43.35,"33,260","42,820","55,320","70,840","90,160",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1152,Computer Network Support Specialists,detailed,"5,990",7.0,0.991,0.76,36.10,"75,090",2.6,18.77,25.59,33.46,45.37,58.06,"39,040","53,220","69,610","94,360","120,760",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-1199,"Computer Occupations, All Other",detailed,"15,200",4.9,2.514,1.13,41.13,"85,540",1.4,18.90,25.94,39.00,54.16,67.58,"39,310","53,950","81,120","112,660","140,560",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2011,Actuaries,detailed,600,25.2,0.099,0.73,52.15,"108,480",2.8,32.51,40.55,49.40,60.68,77.05,"67,610","84,350","102,760","126,210","160,270",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2021,Mathematicians,detailed,80,24.2,0.014,0.71,33.48,"69,650",3.8,23.64,26.69,30.07,41.87,47.09,"49,170","55,510","62,540","87,100","97,940",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2031,Operations Research Analysts,detailed,"4,420",9.5,0.730,0.98,42.92,"89,280",1.5,24.04,31.04,41.81,52.65,65.08,"50,000","64,570","86,950","109,500","135,360",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",15-2041,Statisticians,detailed,"1,220",12.0,0.201,0.78,40.34,"83,900",2.7,24.71,30.98,39.04,48.84,58.90,"51,390","64,440","81,190","101,580","122,520",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-0000,Architecture and Engineering Occupations,major,"105,740",2.1,17.486,0.99,47.00,"97,770",1.5,24.36,32.37,44.13,59.51,75.27,"50,670","67,330","91,790","123,780","156,560",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-1011,"Architects, Except Landscape and Naval",detailed,"5,890",10.8,0.974,1.35,46.10,"95,880",4.5,25.34,31.48,40.96,53.98,71.90,"52,700","65,480","85,190","112,280","149,560",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-1012,Landscape Architects,detailed,940,29.4,0.155,1.16,39.34,"81,830",4.1,25.53,30.47,40.58,47.32,53.99,"53,110","63,370","84,410","98,420","112,300",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-1021,Cartographers and Photogrammetrists,detailed,480,22.2,0.079,0.99,41.90,"87,160",3.3,29.03,34.41,40.72,47.70,55.79,"60,380","71,570","84,690","99,210","116,050",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-1022,Surveyors,detailed,"1,240",13.0,0.204,0.67,43.35,"90,170",3.1,25.94,36.38,44.45,50.48,58.88,"53,950","75,680","92,450","105,000","122,480",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2011,Aerospace Engineers,detailed,"5,020",5.2,0.831,1.80,61.89,"128,730",3.2,36.45,46.15,61.29,75.81,90.45,"75,810","95,990","127,470","157,690","188,150",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2021,Agricultural Engineers,detailed,**,**,**,**,36.55,"76,010",6.1,31.97,33.50,36.04,38.58,44.26,"66,500","69,670","74,960","80,250","92,060",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2031,Biomedical Engineers,detailed,"1,130",18.1,0.187,1.33,45.88,"95,440",4.4,22.63,31.33,43.84,58.03,70.04,"47,060","65,170","91,180","120,710","145,690",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2041,Chemical Engineers,detailed,560,17.3,0.093,0.40,46.72,"97,190",4.0,26.28,32.64,42.89,59.56,75.20,"54,650","67,890","89,220","123,890","156,420",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2051,Civil Engineers,detailed,"13,640",6.5,2.255,1.08,51.32,"106,750",1.7,29.42,37.78,51.19,62.41,75.39,"61,190","78,580","106,480","129,820","156,810",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2061,Computer Hardware Engineers,detailed,"3,500",13.3,0.579,1.24,59.09,"122,910",3.3,34.46,43.78,55.98,71.98,88.20,"71,680","91,060","116,440","149,720","183,450",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2071,Electrical Engineers,detailed,"7,790",5.9,1.289,1.00,53.60,"111,500",2.2,31.40,38.17,52.48,67.82,78.65,"65,320","79,400","109,160","141,070","163,600",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2072,"Electronics Engineers, Except Computer",detailed,"9,330",7.9,1.543,1.63,59.36,"123,470",4.1,32.66,41.86,57.88,75.01,90.57,"67,940","87,060","120,390","156,010","188,390",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2081,Environmental Engineers,detailed,"2,620",10.9,0.433,1.17,49.30,"102,540",3.4,28.06,36.28,48.28,59.46,72.38,"58,360","75,460","100,420","123,680","150,550",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"1,190",10.4,0.197,1.07,50.56,"105,160",1.5,35.23,43.17,51.22,59.22,64.84,"73,280","89,790","106,550","123,180","134,880",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2112,Industrial Engineers,detailed,"9,790",4.3,1.619,0.87,51.51,"107,150",2.0,32.18,38.57,48.62,61.26,76.67,"66,940","80,230","101,130","127,410","159,470",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2121,Marine Engineers and Naval Architects,detailed,50,38.6,0.008,0.11,54.04,"112,400",6.2,37.10,42.37,49.39,64.60,79.17,"77,180","88,130","102,740","134,360","164,670",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2131,Materials Engineers,detailed,950,19.5,0.157,0.82,51.66,"107,450",3.4,28.79,39.80,51.21,63.94,75.83,"59,870","82,790","106,520","133,000","157,720",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2141,Mechanical Engineers,detailed,"8,920",5.3,1.474,0.72,48.60,"101,080",1.7,28.72,35.22,45.85,61.43,74.91,"59,750","73,260","95,360","127,770","155,810",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,70,17.7,0.011,0.26,62.79,"130,590",4.1,52.17,60.11,64.66,64.67,74.47,"108,520","125,020","134,500","134,510","154,900",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2171,Petroleum Engineers,detailed,790,33.7,0.130,0.58,64.24,"133,620",5.4,43.71,51.26,59.66,72.67,89.68,"90,920","106,610","124,100","151,150","186,540",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-2199,"Engineers, All Other",detailed,"4,960",7.7,0.821,0.89,49.49,"102,930",2.0,26.43,36.12,49.18,61.27,74.38,"54,970","75,120","102,290","127,440","154,700",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3011,Architectural and Civil Drafters,detailed,"5,780",9.4,0.956,1.42,29.30,"60,950",2.6,18.34,22.74,28.70,35.30,41.26,"38,150","47,290","59,690","73,420","85,820",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3012,Electrical and Electronics Drafters,detailed,"1,110",13.6,0.184,1.01,35.89,"74,650",3.5,20.08,25.64,34.38,43.44,49.74,"41,760","53,330","71,510","90,360","103,470",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3013,Mechanical Drafters,detailed,"1,410",7.8,0.233,0.57,29.46,"61,280",2.0,17.35,21.44,27.71,35.97,45.54,"36,080","44,590","57,630","74,810","94,730",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3019,"Drafters, All Other",detailed,480,11.9,0.079,0.74,27.07,"56,300",4.3,15.80,20.00,24.70,31.53,43.46,"32,870","41,600","51,370","65,580","90,400",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3021,Aerospace Engineering and Operations Technicians,detailed,740,27.4,0.123,1.50,33.78,"70,260",2.9,22.68,28.16,34.03,38.62,45.84,"47,180","58,570","70,780","80,340","95,340",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3022,Civil Engineering Technicians,detailed,"3,340",9.0,0.553,1.10,33.81,"70,320",3.2,19.23,26.56,33.53,40.82,48.70,"40,000","55,250","69,740","84,910","101,290",,
CA,31080,"Los Angeles-Long Beach-Anaheim, CA",17-3023,Electrical and Electronics Engineering Technicians,detailed,"5,680",7.2,0.940,1.04,31.09,"64,670",2.4,16.16,21.51,29.80,38.37,48.08,"33,620","44,730","61,990","79,810","100,010",,
